freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.262e+01,8.722e+00,1.320e+01,1.145e+02
1.5,6.103e+01,3.601e+01,2.320e+01,1.202e+02
3.0,1.693e+01,3.536e+01,2.041e+01,7.270e+01
4.5,2.494e+02,3.568e+01,2.028e+01,3.054e+02
6.1,9.928e+02,3.817e+01,2.158e+01,1.053e+03
7.6,1.665e+03,4.080e+01,2.300e+01,1.728e+03
9.1,2.348e+03,4.040e+01,2.216e+01,2.411e+03
10.6,3.100e+03,3.735e+01,2.041e+01,3.157e+03
12.1,3.962e+03,3.604e+01,2.124e+01,4.019e+03
13.6,4.927e+03,3.509e+01,2.186e+01,4.984e+03
15.2,5.933e+03,3.799e+01,2.068e+01,5.991e+03
16.7,6.988e+03,4.096e+01,2.308e+01,7.052e+03
18.2,8.273e+03,4.364e+01,2.987e+01,8.346e+03
19.7,9.882e+03,4.592e+01,3.627e+01,9.965e+03
21.2,1.178e+04,4.863e+01,4.556e+01,1.187e+04
22.7,1.360e+04,5.445e+01,6.899e+01,1.373e+04
24.3,1.536e+04,5.492e+01,7.911e+01,1.550e+04
25.8,1.685e+04,5.475e+01,9.013e+01,1.699e+04
27.3,1.723e+04,4.987e+01,1.326e+02,1.741e+04
28.8,1.797e+04,4.343e+01,1.583e+02,1.817e+04
30.3,2.064e+04,4.422e+01,2.462e+02,2.093e+04
31.8,2.405e+04,6.116e+01,4.578e+02,2.457e+04
33.4,2.579e+04,8.671e+01,5.723e+02,2.645e+04
34.9,2.578e+04,9.950e+01,5.624e+02,2.644e+04
36.4,2.799e+04,1.111e+02,6.133e+02,2.871e+04
37.9,3.204e+04,1.299e+02,7.425e+02,3.291e+04
39.4,3.622e+04,1.928e+02,1.128e+03,3.754e+04
40.9,3.704e+04,3.406e+02,1.763e+03,3.914e+04
42.5,3.578e+04,5.479e+02,2.202e+03,3.853e+04
44.0,3.555e+04,6.503e+02,2.153e+03,3.836e+04
45.5,3.622e+04,5.852e+02,1.614e+03,3.842e+04
47.0,3.845e+04,3.414e+02,9.324e+02,3.972e+04
48.5,4.377e+04,4.073e+02,1.246e+03,4.543e+04
50.0,5.256e+04,1.286e+03,4.307e+03,5.815e+04
51.6,5.840e+04,2.692e+03,1.037e+04,7.147e+04
53.1,5.301e+04,2.810e+03,1.211e+04,6.793e+04
54.6,4.649e+04,1.827e+03,8.504e+03,5.683e+04
56.1,4.784e+04,1.260e+03,7.409e+03,5.651e+04
57.6,5.006e+04,9.315e+02,7.800e+03,5.879e+04
59.1,5.083e+04,7.180e+02,8.761e+03,6.031e+04
60.7,5.123e+04,4.428e+02,1.102e+04,6.269e+04
62.2,5.418e+04,3.255e+02,1.717e+04,7.168e+04
63.7,5.560e+04,7.781e+02,2.308e+04,7.945e+04
65.2,6.471e+04,1.816e+03,2.516e+04,9.169e+04
66.7,8.569e+04,3.227e+03,2.451e+04,1.134e+05
68.2,1.120e+05,4.729e+03,2.295e+04,1.397e+05
69.8,1.343e+05,6.172e+03,2.269e+04,1.631e+05
71.3,1.331e+05,6.751e+03,2.222e+04,1.620e+05
72.8,1.229e+05,7.038e+03,2.276e+04,1.527e+05
74.3,1.400e+05,8.384e+03,2.575e+04,1.742e+05
75.8,1.358e+05,8.447e+03,2.508e+04,1.694e+05
77.3,9.181e+04,6.209e+03,1.804e+04,1.161e+05
78.9,5.626e+04,4.390e+03,1.203e+04,7.268e+04
80.4,4.138e+04,3.523e+03,9.681e+03,5.459e+04
