freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.579e+02,2.164e+02,3.061e+01,8.049e+02
1.6,5.875e+02,1.059e+03,1.194e+02,1.765e+03
3.2,4.443e+02,1.187e+03,1.251e+02,1.756e+03
4.8,7.769e+02,9.606e+02,1.244e+02,1.862e+03
6.5,1.553e+03,1.005e+03,1.245e+02,2.684e+03
8.1,2.222e+03,1.028e+03,1.252e+02,3.375e+03
9.7,2.961e+03,1.099e+03,1.295e+02,4.189e+03
11.3,3.786e+03,1.103e+03,1.296e+02,5.019e+03
12.9,4.801e+03,1.164e+03,1.353e+02,6.100e+03
14.5,5.856e+03,1.113e+03,1.381e+02,7.107e+03
16.2,7.106e+03,1.080e+03,1.330e+02,8.319e+03
17.8,8.592e+03,1.194e+03,1.376e+02,9.924e+03
19.4,1.036e+04,1.145e+03,1.365e+02,1.164e+04
21.0,1.251e+04,1.084e+03,1.324e+02,1.372e+04
22.6,1.454e+04,1.121e+03,1.351e+02,1.580e+04
24.2,1.627e+04,1.178e+03,1.207e+02,1.757e+04
25.9,1.831e+04,1.244e+03,1.385e+02,1.969e+04
27.5,1.993e+04,1.227e+03,1.389e+02,2.130e+04
29.1,2.179e+04,1.242e+03,1.361e+02,2.317e+04
30.7,2.555e+04,1.194e+03,1.470e+02,2.689e+04
32.3,2.998e+04,1.127e+03,1.489e+02,3.125e+04
33.9,3.299e+04,1.078e+03,1.505e+02,3.422e+04
35.6,3.722e+04,1.008e+03,1.822e+02,3.841e+04
37.2,4.382e+04,1.214e+03,1.802e+02,4.522e+04
38.8,5.073e+04,1.345e+03,1.570e+02,5.223e+04
40.4,5.651e+04,1.259e+03,1.598e+02,5.793e+04
42.0,6.250e+04,1.292e+03,2.094e+02,6.400e+04
43.6,6.947e+04,1.458e+03,2.097e+02,7.114e+04
45.3,7.603e+04,1.579e+03,1.661e+02,7.777e+04
46.9,8.551e+04,1.525e+03,2.454e+02,8.728e+04
48.5,9.920e+04,1.417e+03,6.131e+02,1.012e+05
50.1,1.167e+05,1.493e+03,1.890e+03,1.201e+05
51.7,1.311e+05,2.581e+03,5.153e+03,1.389e+05
53.3,1.407e+05,4.585e+03,1.018e+04,1.554e+05
55.0,1.645e+05,7.787e+03,1.769e+04,1.900e+05
56.6,2.122e+05,1.008e+04,2.225e+04,2.445e+05
58.2,2.813e+05,8.981e+03,1.989e+04,3.101e+05
59.8,3.825e+05,6.830e+03,1.857e+04,4.079e+05
61.4,5.271e+05,5.746e+03,2.203e+04,5.549e+05
63.0,7.211e+05,5.955e+03,2.501e+04,7.521e+05
64.7,9.690e+05,8.769e+03,2.593e+04,1.004e+06
66.3,1.169e+06,1.239e+04,2.517e+04,1.207e+06
67.9,1.228e+06,7.717e+03,2.410e+04,1.259e+06
69.5,1.238e+06,3.971e+03,2.703e+04,1.269e+06
71.1,1.158e+06,3.542e+03,2.864e+04,1.190e+06
72.7,8.909e+05,4.944e+03,2.397e+04,9.198e+05
74.4,6.557e+05,8.992e+03,1.442e+04,6.791e+05
76.0,4.907e+05,8.830e+03,8.101e+03,5.076e+05
77.6,3.722e+05,5.323e+03,6.670e+03,3.842e+05
79.2,2.735e+05,3.425e+03,7.946e+03,2.848e+05
80.8,2.092e+05,3.637e+03,9.845e+03,2.227e+05
82.4,1.839e+05,3.134e+03,1.040e+04,1.975e+05
84.1,1.769e+05,2.812e+03,8.710e+03,1.885e+05
85.7,1.648e+05,4.735e+03,6.881e+03,1.764e+05
87.3,1.345e+05,6.971e+03,5.490e+03,1.470e+05
88.9,1.192e+05,8.635e+03,4.494e+03,1.323e+05
90.5,1.218e+05,1.227e+04,3.983e+03,1.380e+05
92.1,1.229e+05,1.248e+04,4.538e+03,1.399e+05
93.8,1.278e+05,7.918e+03,4.792e+03,1.405e+05
95.4,1.353e+05,1.266e+04,3.654e+03,1.516e+05
97.0,1.400e+05,3.449e+04,2.247e+03,1.767e+05
98.6,1.441e+05,7.190e+04,1.364e+03,2.174e+05
