freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.584e+02,4.869e+01,4.233e+01,4.494e+02
1.6,2.271e+02,5.545e+01,1.139e+02,3.965e+02
3.2,5.293e+01,3.943e+01,1.228e+02,2.152e+02
4.8,3.914e+02,3.888e+01,1.202e+02,5.505e+02
6.4,1.114e+03,4.344e+01,1.279e+02,1.285e+03
8.1,1.713e+03,4.434e+01,1.213e+02,1.879e+03
9.7,2.452e+03,4.894e+01,1.241e+02,2.625e+03
11.3,3.367e+03,5.915e+01,1.285e+02,3.555e+03
12.9,4.375e+03,6.239e+01,1.326e+02,4.570e+03
14.5,5.477e+03,6.995e+01,1.237e+02,5.670e+03
16.1,6.700e+03,7.566e+01,1.198e+02,6.895e+03
17.7,8.230e+03,8.691e+01,1.292e+02,8.446e+03
19.3,1.010e+04,9.340e+01,1.306e+02,1.032e+04
20.9,1.251e+04,1.124e+02,1.357e+02,1.276e+04
22.5,1.492e+04,1.524e+02,1.429e+02,1.521e+04
24.2,1.624e+04,2.023e+02,1.649e+02,1.661e+04
25.8,1.755e+04,3.110e+02,2.071e+02,1.806e+04
27.4,1.925e+04,3.087e+02,2.228e+02,1.978e+04
29.0,2.172e+04,1.736e+02,1.760e+02,2.207e+04
30.6,2.597e+04,1.244e+02,1.483e+02,2.624e+04
32.2,3.081e+04,1.379e+02,1.310e+02,3.108e+04
33.8,3.414e+04,1.637e+02,1.321e+02,3.443e+04
35.4,3.826e+04,1.865e+02,1.336e+02,3.858e+04
37.0,4.432e+04,1.637e+02,1.306e+02,4.461e+04
38.6,5.012e+04,1.647e+02,1.580e+02,5.044e+04
40.3,5.377e+04,2.822e+02,2.021e+02,5.425e+04
41.9,5.610e+04,4.429e+02,2.416e+02,5.679e+04
43.5,6.382e+04,6.473e+02,2.870e+02,6.476e+04
45.1,7.385e+04,8.696e+02,3.693e+02,7.509e+04
46.7,8.610e+04,9.369e+02,4.112e+02,8.745e+04
48.3,1.037e+05,7.595e+02,4.179e+02,1.049e+05
49.9,1.245e+05,5.842e+02,4.149e+02,1.255e+05
51.5,1.429e+05,3.958e+02,5.152e+02,1.438e+05
53.1,1.563e+05,3.438e+02,9.783e+02,1.576e+05
54.7,1.870e+05,1.446e+03,3.596e+03,1.920e+05
56.4,2.435e+05,8.258e+03,1.370e+04,2.655e+05
58.0,2.997e+05,2.595e+04,3.451e+04,3.602e+05
59.6,3.760e+05,4.977e+04,5.932e+04,4.851e+05
61.2,5.223e+05,7.090e+04,7.925e+04,6.724e+05
62.8,7.332e+05,9.051e+04,9.957e+04,9.233e+05
64.4,9.302e+05,1.076e+05,1.186e+05,1.156e+06
66.0,1.032e+06,1.144e+05,1.180e+05,1.265e+06
67.6,9.814e+05,1.144e+05,1.070e+05,1.203e+06
69.2,7.775e+05,1.045e+05,8.903e+04,9.711e+05
70.8,5.200e+05,8.099e+04,6.191e+04,6.629e+05
72.5,3.116e+05,5.245e+04,3.834e+04,4.024e+05
74.1,1.781e+05,3.273e+04,2.527e+04,2.361e+05
75.7,1.062e+05,2.345e+04,1.963e+04,1.493e+05
77.3,7.433e+04,2.087e+04,1.740e+04,1.126e+05
78.9,7.087e+04,2.378e+04,2.172e+04,1.164e+05
80.5,6.796e+04,2.359e+04,2.354e+04,1.151e+05
82.1,6.188e+04,2.199e+04,2.118e+04,1.050e+05
83.7,7.023e+04,2.339e+04,2.334e+04,1.170e+05
85.3,7.707e+04,2.706e+04,3.088e+04,1.350e+05
86.9,7.932e+04,3.051e+04,4.529e+04,1.551e+05
88.6,9.570e+04,2.825e+04,5.820e+04,1.822e+05
90.2,1.334e+05,2.051e+04,6.658e+04,2.205e+05
91.8,1.840e+05,9.654e+03,6.629e+04,2.599e+05
93.4,2.702e+05,4.705e+03,6.407e+04,3.390e+05
95.0,3.780e+05,1.336e+04,6.239e+04,4.538e+05
96.6,4.691e+05,2.874e+04,5.978e+04,5.576e+05
98.2,5.182e+05,4.517e+04,5.521e+04,6.186e+05
99.8,5.022e+05,6.707e+04,4.398e+04,6.133e+05
101.4,3.976e+05,7.505e+04,2.892e+04,5.015e+05
103.0,3.267e+05,6.302e+04,2.043e+04,4.102e+05
104.7,3.314e+05,6.132e+04,2.334e+04,4.161e+05
106.3,2.656e+05,7.150e+04,2.084e+04,3.579e+05
107.9,1.873e+05,8.335e+04,1.497e+04,2.856e+05
109.5,1.368e+05,9.777e+04,1.041e+04,2.450e+05
111.1,1.101e+05,1.112e+05,7.152e+03,2.285e+05
112.7,1.004e+05,1.191e+05,4.885e+03,2.244e+05
114.3,1.085e+05,1.253e+05,3.330e+03,2.371e+05
115.9,1.405e+05,1.406e+05,2.379e+03,2.835e+05
117.5,2.039e+05,1.638e+05,1.745e+03,3.694e+05
119.1,2.793e+05,1.666e+05,1.633e+03,4.475e+05
120.8,2.752e+05,1.272e+05,1.263e+03,4.037e+05
122.4,2.236e+05,7.946e+04,1.113e+03,3.041e+05
124.0,2.981e+05,8.411e+04,1.292e+03,3.835e+05
125.6,4.374e+05,9.642e+04,1.596e+03,5.354e+05
127.2,5.868e+05,1.036e+05,2.032e+03,6.924e+05
128.8,6.988e+05,1.035e+05,2.420e+03,8.048e+05
130.4,8.092e+05,9.996e+04,2.912e+03,9.121e+05
132.0,7.607e+05,8.398e+04,3.100e+03,8.478e+05
133.6,3.256e+05,3.510e+04,2.442e+03,3.632e+05
135.2,1.182e+05,1.561e+04,2.201e+03,1.361e+05
136.9,1.027e+05,1.664e+04,2.483e+03,1.218e+05
138.5,9.401e+04,1.841e+04,2.789e+03,1.152e+05
140.1,8.462e+04,1.771e+04,2.659e+03,1.050e+05
141.7,7.478e+04,1.494e+04,2.232e+03,9.196e+04
143.3,6.364e+04,1.244e+04,1.768e+03,7.785e+04
144.9,5.245e+04,1.051e+04,1.435e+03,6.439e+04
146.5,4.396e+04,8.149e+03,1.058e+03,5.317e+04
148.1,3.929e+04,4.678e+03,5.255e+02,4.449e+04
149.7,3.991e+04,3.198e+03,3.506e+02,4.346e+04
151.3,4.181e+04,3.223e+03,3.693e+02,4.540e+04
153.0,4.396e+04,3.695e+03,4.480e+02,4.811e+04
154.6,4.785e+04,5.440e+03,6.740e+02,5.396e+04
156.2,5.419e+04,8.831e+03,1.082e+03,6.410e+04
157.8,6.592e+04,1.294e+04,1.589e+03,8.045e+04
159.4,9.718e+04,1.398e+04,1.635e+03,1.128e+05
161.0,1.219e+05,1.472e+04,1.452e+03,1.380e+05
162.6,1.205e+05,1.462e+04,1.371e+03,1.365e+05
164.2,1.156e+05,1.514e+04,1.508e+03,1.322e+05
165.8,1.094e+05,1.615e+04,1.709e+03,1.272e+05
167.4,1.022e+05,1.674e+04,1.900e+03,1.209e+05
169.1,9.250e+04,1.600e+04,1.978e+03,1.105e+05
170.7,8.729e+04,1.606e+04,2.077e+03,1.054e+05
172.3,8.330e+04,1.718e+04,2.316e+03,1.028e+05
173.9,7.570e+04,1.806e+04,2.417e+03,9.618e+04
175.5,7.026e+04,2.009e+04,2.659e+03,9.301e+04
177.1,6.287e+04,2.198e+04,2.901e+03,8.775e+04
178.7,5.465e+04,2.277e+04,2.940e+03,8.036e+04
180.3,4.621e+04,2.208e+04,3.007e+03,7.129e+04
181.9,3.804e+04,1.925e+04,3.095e+03,6.039e+04
183.5,3.700e+04,2.164e+04,3.692e+03,6.233e+04
185.2,3.537e+04,2.396e+04,4.434e+03,6.377e+04
186.8,3.316e+04,2.332e+04,5.027e+03,6.150e+04
188.4,2.922e+04,2.362e+04,5.889e+03,5.872e+04
190.0,2.881e+04,2.638e+04,7.012e+03,6.220e+04
191.6,3.088e+04,3.014e+04,8.340e+03,6.936e+04
193.2,3.265e+04,3.524e+04,9.768e+03,7.767e+04
194.8,3.410e+04,4.156e+04,1.162e+04,8.729e+04
