freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.032e+01,4.212e+02,1.604e+02,5.919e+02
1.6,3.363e+01,2.781e+02,1.811e+02,4.928e+02
3.2,3.669e+01,6.536e+01,1.209e+02,2.230e+02
4.8,3.617e+01,4.206e+02,1.164e+02,5.732e+02
6.4,3.775e+01,1.220e+03,1.190e+02,1.376e+03
8.1,4.558e+01,1.933e+03,1.405e+02,2.119e+03
9.7,5.454e+01,2.786e+03,1.324e+02,2.973e+03
11.3,5.643e+01,3.781e+03,1.299e+02,3.967e+03
12.9,6.101e+01,5.135e+03,1.466e+02,5.343e+03
14.5,6.759e+01,7.023e+03,1.449e+02,7.235e+03
16.1,7.382e+01,9.392e+03,1.272e+02,9.593e+03
17.7,8.857e+01,1.129e+04,1.187e+02,1.150e+04
19.3,9.746e+01,1.320e+04,1.238e+02,1.342e+04
20.9,9.869e+01,1.621e+04,1.297e+02,1.643e+04
22.5,1.027e+02,1.919e+04,1.252e+02,1.942e+04
24.2,8.906e+01,1.978e+04,1.575e+02,2.002e+04
25.8,7.044e+01,1.946e+04,2.152e+02,1.974e+04
27.4,7.521e+01,2.295e+04,2.174e+02,2.324e+04
29.0,1.059e+02,2.685e+04,1.936e+02,2.715e+04
30.6,1.210e+02,3.184e+04,1.558e+02,3.211e+04
32.2,1.239e+02,3.771e+04,1.510e+02,3.799e+04
33.8,1.153e+02,4.225e+04,1.790e+02,4.254e+04
35.4,1.230e+02,5.003e+04,3.655e+02,5.051e+04
37.0,1.520e+02,6.401e+04,8.756e+02,6.504e+04
38.6,1.827e+02,8.358e+04,1.937e+03,8.570e+04
40.3,2.287e+02,1.093e+05,3.558e+03,1.131e+05
41.9,2.521e+02,1.267e+05,5.884e+03,1.329e+05
43.5,2.727e+02,1.656e+05,1.407e+04,1.800e+05
45.1,3.318e+02,2.804e+05,4.368e+04,3.244e+05
46.7,4.801e+02,4.935e+05,1.436e+05,6.376e+05
48.3,8.708e+02,5.104e+05,2.755e+05,7.868e+05
49.9,1.036e+03,2.692e+05,2.961e+05,5.664e+05
51.5,1.197e+03,1.090e+05,2.658e+05,3.760e+05
53.1,1.513e+03,5.341e+04,2.296e+05,2.846e+05
54.7,1.796e+03,5.349e+04,2.157e+05,2.709e+05
56.4,2.192e+03,9.116e+04,2.323e+05,3.256e+05
58.0,2.685e+03,1.599e+05,2.633e+05,4.259e+05
59.6,3.108e+03,2.531e+05,2.917e+05,5.478e+05
61.2,3.329e+03,3.570e+05,3.045e+05,6.649e+05
62.8,3.886e+03,5.102e+05,3.374e+05,8.515e+05
64.4,5.475e+03,7.409e+05,4.006e+05,1.147e+06
66.0,8.000e+03,9.421e+05,4.291e+05,1.379e+06
67.6,9.993e+03,1.058e+06,4.077e+05,1.475e+06
69.2,1.071e+04,1.112e+06,3.714e+05,1.494e+06
70.8,1.068e+04,1.101e+06,3.290e+05,1.440e+06
72.5,9.115e+03,1.016e+06,2.828e+05,1.307e+06
74.1,5.729e+03,8.206e+05,2.167e+05,1.043e+06
75.7,3.052e+03,6.487e+05,1.648e+05,8.165e+05
77.3,2.148e+03,5.529e+05,1.372e+05,6.923e+05
78.9,1.952e+03,4.969e+05,1.176e+05,6.164e+05
80.5,1.619e+03,4.498e+05,9.527e+04,5.466e+05
82.1,1.159e+03,4.262e+05,7.520e+04,5.026e+05
83.7,8.085e+02,4.165e+05,5.923e+04,4.765e+05
85.3,6.193e+02,4.109e+05,4.896e+04,4.604e+05
86.9,4.974e+02,3.990e+05,4.302e+04,4.425e+05
88.6,3.838e+02,3.816e+05,3.856e+04,4.205e+05
90.2,4.142e+02,3.666e+05,3.355e+04,4.005e+05
91.8,4.292e+02,3.503e+05,3.093e+04,3.816e+05
93.4,6.529e+02,3.340e+05,2.958e+04,3.642e+05
95.0,1.507e+03,3.119e+05,2.808e+04,3.415e+05
96.6,1.861e+03,2.888e+05,2.616e+04,3.168e+05
98.2,1.759e+03,2.727e+05,2.453e+04,2.990e+05
99.8,2.120e+03,2.666e+05,2.409e+04,2.928e+05
101.4,2.386e+03,2.666e+05,2.436e+04,2.933e+05
103.0,2.228e+03,2.636e+05,2.412e+04,2.899e+05
104.7,2.147e+03,2.600e+05,2.380e+04,2.859e+05
106.3,2.280e+03,2.498e+05,2.320e+04,2.753e+05
107.9,2.429e+03,2.305e+05,2.147e+04,2.544e+05
109.5,2.357e+03,2.101e+05,1.908e+04,2.316e+05
111.1,2.356e+03,1.923e+05,1.643e+04,2.111e+05
112.7,2.515e+03,1.778e+05,1.423e+04,1.945e+05
114.3,2.737e+03,1.687e+05,1.227e+04,1.837e+05
115.9,3.105e+03,1.651e+05,1.007e+04,1.782e+05
117.5,3.526e+03,1.670e+05,8.580e+03,1.791e+05
119.1,3.773e+03,1.654e+05,7.940e+03,1.771e+05
120.8,3.452e+03,1.315e+05,6.551e+03,1.415e+05
122.4,3.080e+03,1.014e+05,5.526e+03,1.100e+05
124.0,3.406e+03,1.115e+05,6.280e+03,1.212e+05
125.6,4.253e+03,1.242e+05,7.551e+03,1.360e+05
127.2,5.615e+03,1.282e+05,9.150e+03,1.430e+05
128.8,7.498e+03,1.303e+05,1.105e+04,1.489e+05
130.4,1.017e+04,1.352e+05,1.324e+04,1.586e+05
132.0,1.168e+04,1.236e+05,1.321e+04,1.485e+05
133.6,6.354e+03,4.693e+04,5.098e+03,5.838e+04
135.2,4.131e+03,1.237e+04,1.190e+03,1.769e+04
136.9,4.854e+03,1.272e+04,1.185e+03,1.876e+04
138.5,5.324e+03,1.111e+04,1.138e+03,1.757e+04
140.1,7.059e+03,6.871e+03,8.510e+02,1.478e+04
141.7,1.055e+04,5.078e+03,9.099e+02,1.654e+04
143.3,1.334e+04,4.380e+03,9.760e+02,1.869e+04
144.9,1.363e+04,3.135e+03,8.152e+02,1.758e+04
146.5,1.260e+04,2.666e+03,6.973e+02,1.596e+04
148.1,1.046e+04,3.764e+03,7.779e+02,1.500e+04
149.7,8.824e+03,5.091e+03,9.222e+02,1.484e+04
151.3,7.949e+03,5.841e+03,9.794e+02,1.477e+04
153.0,7.256e+03,6.815e+03,1.115e+03,1.519e+04
154.6,7.153e+03,7.467e+03,1.134e+03,1.575e+04
156.2,7.642e+03,8.664e+03,1.229e+03,1.754e+04
157.8,8.082e+03,1.067e+04,1.297e+03,2.005e+04
159.4,1.088e+04,1.539e+04,1.645e+03,2.792e+04
161.0,1.556e+04,2.117e+04,2.083e+03,3.881e+04
162.6,1.676e+04,2.193e+04,1.953e+03,4.065e+04
164.2,1.699e+04,2.090e+04,1.782e+03,3.967e+04
165.8,1.617e+04,1.999e+04,1.617e+03,3.778e+04
167.4,1.522e+04,1.867e+04,1.481e+03,3.537e+04
169.1,1.369e+04,1.660e+04,1.274e+03,3.157e+04
170.7,1.400e+04,1.556e+04,1.160e+03,3.072e+04
172.3,1.442e+04,1.437e+04,1.152e+03,2.994e+04
173.9,1.262e+04,1.452e+04,1.230e+03,2.836e+04
175.5,1.049e+04,1.649e+04,1.441e+03,2.842e+04
177.1,8.034e+03,1.796e+04,1.585e+03,2.758e+04
178.7,5.906e+03,1.983e+04,1.835e+03,2.757e+04
180.3,7.293e+03,1.830e+04,1.811e+03,2.740e+04
181.9,8.802e+03,1.631e+04,1.831e+03,2.694e+04
183.5,8.057e+03,1.612e+04,1.940e+03,2.612e+04
185.2,7.749e+03,1.737e+04,2.031e+03,2.715e+04
186.8,7.467e+03,1.667e+04,1.883e+03,2.602e+04
188.4,6.780e+03,1.634e+04,1.798e+03,2.492e+04
190.0,6.197e+03,2.020e+04,2.099e+03,2.849e+04
191.6,6.342e+03,2.882e+04,2.774e+03,3.793e+04
193.2,6.379e+03,3.766e+04,3.597e+03,4.764e+04
194.8,6.207e+03,4.365e+04,4.178e+03,5.403e+04
196.4,5.826e+03,4.831e+04,4.725e+03,5.886e+04
198.0,5.349e+03,5.734e+04,5.512e+03,6.820e+04
199.6,4.824e+03,6.789e+04,6.358e+03,7.907e+04
