freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.406e+01,2.123e+02,7.735e+01,3.037e+02
1.6,3.636e+01,1.453e+02,1.230e+02,3.047e+02
3.2,3.592e+01,6.365e+01,1.132e+02,2.128e+02
4.9,3.409e+01,4.404e+02,1.121e+02,5.866e+02
6.5,3.218e+01,1.238e+03,1.182e+02,1.388e+03
8.1,3.612e+01,1.964e+03,1.324e+02,2.132e+03
9.7,3.734e+01,2.747e+03,1.308e+02,2.915e+03
11.3,3.936e+01,3.591e+03,1.313e+02,3.761e+03
13.0,3.967e+01,4.798e+03,1.304e+02,4.968e+03
14.6,4.358e+01,6.542e+03,1.304e+02,6.716e+03
16.2,4.146e+01,8.722e+03,1.506e+02,8.914e+03
17.8,5.025e+01,1.049e+04,1.495e+02,1.069e+04
19.4,5.995e+01,1.196e+04,1.422e+02,1.216e+04
21.0,6.234e+01,1.394e+04,1.332e+02,1.414e+04
22.7,6.274e+01,1.617e+04,1.235e+02,1.635e+04
24.3,5.739e+01,1.793e+04,1.191e+02,1.811e+04
25.9,4.418e+01,1.809e+04,1.318e+02,1.827e+04
27.5,4.071e+01,1.870e+04,1.406e+02,1.888e+04
29.1,5.313e+01,1.987e+04,1.357e+02,2.006e+04
30.8,6.061e+01,2.271e+04,1.319e+02,2.290e+04
32.4,6.085e+01,2.582e+04,1.300e+02,2.601e+04
34.0,5.476e+01,2.675e+04,1.499e+02,2.695e+04
35.6,4.530e+01,2.875e+04,2.586e+02,2.906e+04
37.2,4.046e+01,3.317e+04,5.310e+02,3.374e+04
38.9,3.790e+01,3.812e+04,8.984e+02,3.906e+04
40.5,4.644e+01,4.080e+04,1.287e+03,4.214e+04
42.1,4.359e+01,3.789e+04,1.762e+03,3.969e+04
43.7,3.692e+01,4.033e+04,3.139e+03,4.350e+04
45.3,4.237e+01,4.495e+04,7.555e+03,5.255e+04
46.9,1.024e+02,4.983e+04,1.526e+04,6.519e+04
48.6,2.877e+02,6.151e+04,2.754e+04,8.934e+04
50.2,6.281e+02,6.818e+04,5.448e+04,1.233e+05
51.8,1.217e+03,5.334e+04,8.458e+04,1.391e+05
53.4,1.726e+03,3.705e+04,9.824e+04,1.370e+05
55.0,2.015e+03,4.203e+04,1.038e+05,1.478e+05
56.7,2.142e+03,6.092e+04,1.063e+05,1.693e+05
58.3,2.191e+03,8.447e+04,1.073e+05,1.940e+05
59.9,2.083e+03,1.095e+05,1.073e+05,2.189e+05
61.5,2.173e+03,1.346e+05,1.064e+05,2.432e+05
63.1,3.214e+03,1.639e+05,1.094e+05,2.765e+05
64.8,5.272e+03,1.982e+05,1.178e+05,3.213e+05
66.4,7.931e+03,2.442e+05,1.305e+05,3.827e+05
68.0,1.099e+04,3.088e+05,1.505e+05,4.702e+05
69.6,1.517e+04,3.830e+05,1.662e+05,5.644e+05
71.2,1.856e+04,4.420e+05,1.696e+05,6.302e+05
72.8,1.733e+04,4.622e+05,1.622e+05,6.418e+05
74.5,1.339e+04,4.511e+05,1.493e+05,6.138e+05
76.1,9.546e+03,4.768e+05,1.534e+05,6.397e+05
77.7,6.337e+03,5.009e+05,1.593e+05,6.665e+05
79.3,4.773e+03,4.855e+05,1.496e+05,6.399e+05
80.9,3.590e+03,4.375e+05,1.205e+05,5.616e+05
82.6,2.373e+03,3.807e+05,8.408e+04,4.671e+05
84.2,2.060e+03,3.547e+05,5.964e+04,4.164e+05
85.8,2.871e+03,3.470e+05,4.772e+04,3.976e+05
87.4,4.221e+03,3.396e+05,3.972e+04,3.836e+05
89.0,6.130e+03,3.247e+05,3.096e+04,3.618e+05
90.7,8.158e+03,3.142e+05,2.612e+04,3.485e+05
92.3,9.785e+03,3.024e+05,2.482e+04,3.370e+05
93.9,1.071e+04,2.859e+05,2.558e+04,3.222e+05
95.5,1.011e+04,2.758e+05,2.954e+04,3.154e+05
97.1,8.631e+03,2.689e+05,3.258e+04,3.101e+05
98.8,7.872e+03,2.673e+05,3.540e+04,3.106e+05
100.4,6.834e+03,2.758e+05,3.865e+04,3.213e+05
102.0,6.077e+03,2.837e+05,3.957e+04,3.293e+05
103.6,5.753e+03,2.832e+05,3.920e+04,3.282e+05
105.2,5.907e+03,2.738e+05,3.823e+04,3.179e+05
106.8,5.879e+03,2.598e+05,3.727e+04,3.029e+05
108.5,5.702e+03,2.457e+05,3.585e+04,2.872e+05
110.1,5.251e+03,2.249e+05,3.351e+04,2.636e+05
111.7,4.695e+03,2.012e+05,3.106e+04,2.369e+05
113.3,4.125e+03,1.745e+05,2.755e+04,2.062e+05
114.9,3.943e+03,1.462e+05,2.199e+04,1.721e+05
116.6,4.312e+03,1.168e+05,1.568e+04,1.368e+05
118.2,4.919e+03,9.547e+04,1.032e+04,1.107e+05
119.8,5.412e+03,8.202e+04,7.207e+03,9.464e+04
121.4,4.731e+03,6.214e+04,4.776e+03,7.165e+04
123.0,4.679e+03,5.773e+04,4.034e+03,6.644e+04
124.7,5.344e+03,6.571e+04,4.638e+03,7.569e+04
126.3,6.028e+03,7.094e+04,5.659e+03,8.263e+04
127.9,7.249e+03,7.507e+04,7.063e+03,8.938e+04
129.5,9.364e+03,8.268e+04,8.835e+03,1.009e+05
131.1,1.169e+04,9.794e+04,1.098e+04,1.206e+05
132.7,1.343e+04,7.122e+04,8.107e+03,9.276e+04
134.4,1.498e+04,1.491e+04,1.674e+03,3.157e+04
136.0,1.783e+04,6.739e+03,7.680e+02,2.534e+04
137.6,2.084e+04,6.325e+03,7.799e+02,2.794e+04
139.2,2.329e+04,5.886e+03,7.517e+02,2.992e+04
140.8,2.531e+04,5.159e+03,7.038e+02,3.118e+04
142.5,2.807e+04,4.418e+03,6.383e+02,3.312e+04
144.1,3.059e+04,4.272e+03,6.439e+02,3.551e+04
145.7,3.197e+04,4.114e+03,6.263e+02,3.671e+04
147.3,2.868e+04,4.201e+03,6.238e+02,3.351e+04
148.9,2.771e+04,5.128e+03,8.065e+02,3.365e+04
150.6,2.599e+04,5.874e+03,9.264e+02,3.279e+04
152.2,2.249e+04,6.379e+03,1.031e+03,2.990e+04
153.8,1.919e+04,6.460e+03,1.082e+03,2.673e+04
155.4,1.628e+04,6.737e+03,1.077e+03,2.409e+04
157.0,1.461e+04,6.702e+03,1.027e+03,2.234e+04
158.6,1.382e+04,7.544e+03,1.087e+03,2.246e+04
160.3,1.374e+04,9.742e+03,1.321e+03,2.480e+04
161.9,1.212e+04,1.218e+04,1.573e+03,2.588e+04
163.5,1.073e+04,1.356e+04,1.714e+03,2.600e+04
165.1,9.121e+03,1.426e+04,1.803e+03,2.518e+04
166.7,8.021e+03,1.338e+04,1.775e+03,2.318e+04
168.4,8.488e+03,1.123e+04,1.601e+03,2.132e+04
170.0,9.029e+03,1.250e+04,1.749e+03,2.328e+04
171.6,8.721e+03,1.380e+04,1.914e+03,2.444e+04
173.2,1.079e+04,1.233e+04,1.787e+03,2.491e+04
174.8,1.182e+04,1.234e+04,1.841e+03,2.600e+04
176.5,1.223e+04,1.375e+04,2.007e+03,2.798e+04
178.1,1.187e+04,1.329e+04,1.873e+03,2.704e+04
179.7,1.029e+04,1.293e+04,1.754e+03,2.498e+04
181.3,9.341e+03,1.255e+04,1.732e+03,2.362e+04
182.9,8.636e+03,1.159e+04,1.601e+03,2.183e+04
184.6,7.481e+03,1.071e+04,1.406e+03,1.959e+04
186.2,6.742e+03,1.044e+04,1.353e+03,1.853e+04
187.8,6.204e+03,1.001e+04,1.288e+03,1.750e+04
189.4,6.956e+03,1.138e+04,1.334e+03,1.967e+04
191.0,8.879e+03,1.672e+04,1.686e+03,2.729e+04
192.6,1.204e+04,2.477e+04,2.352e+03,3.916e+04
194.3,1.513e+04,3.232e+04,3.066e+03,5.052e+04
195.9,1.877e+04,3.596e+04,3.343e+03,5.807e+04
197.5,2.407e+04,3.813e+04,3.492e+03,6.569e+04
199.1,3.188e+04,4.210e+04,3.753e+03,7.773e+04
