freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.050e+02,3.905e+01,4.589e+01,3.899e+02
1.6,2.004e+02,5.055e+01,1.021e+02,3.531e+02
3.2,5.547e+01,3.794e+01,1.136e+02,2.070e+02
4.9,3.969e+02,3.757e+01,1.134e+02,5.479e+02
6.5,1.137e+03,3.816e+01,1.118e+02,1.287e+03
8.1,1.775e+03,3.899e+01,1.085e+02,1.922e+03
9.7,2.458e+03,4.059e+01,1.188e+02,2.617e+03
11.3,3.253e+03,4.047e+01,1.164e+02,3.410e+03
12.9,4.167e+03,4.055e+01,1.188e+02,4.326e+03
14.6,5.106e+03,4.139e+01,1.186e+02,5.266e+03
16.2,6.210e+03,4.140e+01,1.138e+02,6.366e+03
17.8,7.494e+03,4.159e+01,1.165e+02,7.652e+03
19.4,8.929e+03,4.073e+01,1.179e+02,9.087e+03
21.0,1.089e+04,4.130e+01,1.110e+02,1.104e+04
22.7,1.321e+04,4.808e+01,1.120e+02,1.337e+04
24.3,1.476e+04,6.026e+01,1.250e+02,1.494e+04
25.9,1.570e+04,7.057e+01,1.413e+02,1.592e+04
27.5,1.685e+04,7.338e+01,1.487e+02,1.707e+04
29.1,1.835e+04,5.924e+01,1.392e+02,1.855e+04
30.8,2.156e+04,4.481e+01,1.365e+02,2.174e+04
32.4,2.587e+04,4.892e+01,1.291e+02,2.604e+04
34.0,2.957e+04,6.213e+01,1.273e+02,2.976e+04
35.6,3.351e+04,7.178e+01,1.236e+02,3.370e+04
37.2,3.899e+04,9.370e+01,1.267e+02,3.921e+04
38.8,4.575e+04,1.238e+02,1.258e+02,4.600e+04
40.5,5.099e+04,1.451e+02,1.238e+02,5.126e+04
42.1,5.514e+04,1.931e+02,1.417e+02,5.548e+04
43.7,6.333e+04,3.923e+02,2.452e+02,6.397e+04
45.3,7.261e+04,8.842e+02,5.449e+02,7.404e+04
46.9,7.954e+04,1.542e+03,1.113e+03,8.219e+04
48.6,8.781e+04,2.150e+03,1.914e+03,9.188e+04
50.2,9.924e+04,2.839e+03,3.059e+03,1.051e+05
51.8,1.083e+05,3.724e+03,4.659e+03,1.167e+05
53.4,1.134e+05,5.419e+03,7.502e+03,1.263e+05
55.0,1.287e+05,8.998e+03,1.318e+04,1.509e+05
56.7,1.539e+05,1.234e+04,1.880e+04,1.850e+05
58.3,1.827e+05,1.296e+04,2.136e+04,2.170e+05
59.9,2.221e+05,1.257e+04,2.221e+04,2.569e+05
61.5,2.895e+05,1.278e+04,2.422e+04,3.265e+05
63.1,3.963e+05,1.439e+04,2.921e+04,4.399e+05
64.7,5.432e+05,1.869e+04,3.892e+04,6.008e+05
66.4,7.114e+05,2.753e+04,5.583e+04,7.948e+05
68.0,7.946e+05,4.097e+04,7.760e+04,9.132e+05
69.6,7.528e+05,5.783e+04,9.720e+04,9.078e+05
71.2,5.845e+05,7.181e+04,1.042e+05,7.605e+05
72.8,3.882e+05,7.123e+04,9.728e+04,5.567e+05
74.5,2.573e+05,5.785e+04,8.322e+04,3.984e+05
76.1,1.628e+05,4.772e+04,6.900e+04,2.796e+05
77.7,9.768e+04,4.210e+04,6.018e+04,2.000e+05
79.3,5.668e+04,3.995e+04,6.022e+04,1.569e+05
80.9,3.593e+04,4.312e+04,7.242e+04,1.515e+05
82.6,3.419e+04,4.825e+04,8.740e+04,1.698e+05
84.2,4.400e+04,4.772e+04,9.033e+04,1.821e+05
85.8,5.247e+04,4.054e+04,7.742e+04,1.704e+05
87.4,6.149e+04,3.510e+04,6.968e+04,1.663e+05
89.0,8.174e+04,2.959e+04,6.720e+04,1.785e+05
90.6,1.125e+05,2.362e+04,6.431e+04,2.004e+05
92.3,1.538e+05,1.979e+04,6.390e+04,2.375e+05
93.9,2.218e+05,1.720e+04,6.858e+04,3.076e+05
95.5,2.817e+05,1.438e+04,6.662e+04,3.627e+05
97.1,3.159e+05,1.695e+04,6.254e+04,3.954e+05
98.7,3.994e+05,2.163e+04,7.140e+04,4.925e+05
100.4,4.637e+05,2.547e+04,7.815e+04,5.673e+05
102.0,4.664e+05,2.746e+04,7.786e+04,5.717e+05
103.6,4.234e+05,2.641e+04,7.293e+04,5.227e+05
105.2,3.502e+05,2.408e+04,6.352e+04,4.378e+05
106.8,2.688e+05,1.685e+04,5.324e+04,3.389e+05
108.5,2.093e+05,1.031e+04,4.181e+04,2.615e+05
110.1,1.728e+05,1.072e+04,3.089e+04,2.144e+05
111.7,1.533e+05,1.866e+04,2.174e+04,1.937e+05
113.3,1.476e+05,3.486e+04,1.358e+04,1.960e+05
114.9,1.592e+05,6.096e+04,7.327e+03,2.275e+05
116.5,1.864e+05,9.600e+04,3.234e+03,2.857e+05
118.2,2.259e+05,1.397e+05,1.187e+03,3.668e+05
119.8,2.415e+05,1.507e+05,6.737e+02,3.929e+05
121.4,1.832e+05,1.110e+05,4.512e+02,2.946e+05
123.0,2.025e+05,1.153e+05,7.632e+02,3.186e+05
124.6,3.359e+05,1.638e+05,1.736e+03,5.015e+05
126.3,5.300e+05,2.259e+05,3.723e+03,7.597e+05
127.9,7.871e+05,2.926e+05,7.072e+03,1.087e+06
129.5,9.686e+05,3.183e+05,9.817e+03,1.297e+06
131.1,1.007e+06,3.107e+05,1.157e+04,1.329e+06
132.7,7.093e+05,2.092e+05,9.074e+03,9.275e+05
134.4,1.636e+05,4.282e+04,2.121e+03,2.085e+05
136.0,8.643e+04,1.912e+04,1.223e+03,1.068e+05
137.6,8.651e+04,1.750e+04,1.309e+03,1.053e+05
139.2,8.657e+04,1.465e+04,1.225e+03,1.024e+05
140.8,8.312e+04,1.134e+04,1.029e+03,9.550e+04
142.4,7.525e+04,9.066e+03,7.726e+02,8.509e+04
144.1,6.871e+04,9.031e+03,7.255e+02,7.847e+04
145.7,5.873e+04,7.723e+03,7.625e+02,6.722e+04
147.3,4.920e+04,6.389e+03,7.230e+02,5.631e+04
148.9,4.192e+04,6.809e+03,7.681e+02,4.950e+04
150.5,4.452e+04,7.798e+03,9.462e+02,5.326e+04
152.2,4.968e+04,6.809e+03,8.537e+02,5.735e+04
153.8,5.562e+04,6.265e+03,8.434e+02,6.273e+04
155.4,6.100e+04,6.906e+03,9.543e+02,6.886e+04
157.0,6.405e+04,8.396e+03,1.225e+03,7.367e+04
158.6,7.739e+04,1.494e+04,2.189e+03,9.452e+04
160.3,1.120e+05,2.910e+04,4.364e+03,1.454e+05
161.9,1.162e+05,3.424e+04,5.446e+03,1.559e+05
163.5,1.059e+05,3.220e+04,5.542e+03,1.437e+05
165.1,9.507e+04,2.939e+04,5.546e+03,1.300e+05
166.7,8.445e+04,2.733e+04,5.396e+03,1.172e+05
168.3,7.847e+04,2.592e+04,5.065e+03,1.095e+05
170.0,7.299e+04,2.782e+04,5.176e+03,1.060e+05
171.6,6.944e+04,3.025e+04,5.845e+03,1.055e+05
173.2,7.600e+04,2.704e+04,5.839e+03,1.089e+05
174.8,8.243e+04,2.349e+04,5.453e+03,1.114e+05
176.4,9.003e+04,2.202e+04,5.198e+03,1.173e+05
178.1,9.234e+04,2.030e+04,4.956e+03,1.176e+05
179.7,9.247e+04,1.852e+04,4.607e+03,1.156e+05
181.3,8.946e+04,1.584e+04,4.240e+03,1.095e+05
182.9,8.551e+04,1.430e+04,4.015e+03,1.038e+05
184.5,8.260e+04,1.343e+04,3.911e+03,9.995e+04
186.2,8.135e+04,1.279e+04,3.847e+03,9.799e+04
187.8,8.492e+04,1.264e+04,3.928e+03,1.015e+05
189.4,9.562e+04,1.328e+04,4.122e+03,1.130e+05
191.0,1.170e+05,1.487e+04,4.512e+03,1.364e+05
192.6,1.431e+05,1.658e+04,4.958e+03,1.646e+05
194.2,1.686e+05,1.647e+04,5.028e+03,1.901e+05
195.9,1.953e+05,1.684e+04,5.422e+03,2.176e+05
197.5,2.256e+05,2.140e+04,6.734e+03,2.537e+05
199.1,2.451e+05,2.567e+04,7.777e+03,2.786e+05
