freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.958e+02,1.679e+02,2.890e+01,7.926e+02
1.6,5.628e+02,8.303e+02,9.970e+01,1.493e+03
3.2,3.827e+02,1.052e+03,1.224e+02,1.557e+03
4.9,6.842e+02,1.031e+03,1.355e+02,1.851e+03
6.5,1.434e+03,8.948e+02,1.328e+02,2.462e+03
8.1,2.151e+03,1.006e+03,1.310e+02,3.288e+03
9.7,2.866e+03,1.040e+03,1.204e+02,4.027e+03
11.3,3.597e+03,1.019e+03,1.191e+02,4.735e+03
12.9,4.503e+03,9.913e+02,1.284e+02,5.623e+03
14.6,5.596e+03,1.017e+03,1.336e+02,6.746e+03
16.2,6.764e+03,1.007e+03,1.239e+02,7.895e+03
17.8,8.104e+03,9.967e+02,1.283e+02,9.229e+03
19.4,9.706e+03,9.656e+02,1.303e+02,1.080e+04
21.0,1.185e+04,9.717e+02,1.251e+02,1.294e+04
22.6,1.394e+04,9.902e+02,1.285e+02,1.506e+04
24.3,1.543e+04,1.043e+03,1.430e+02,1.662e+04
25.9,1.723e+04,1.090e+03,1.440e+02,1.847e+04
27.5,1.867e+04,1.040e+03,1.299e+02,1.984e+04
29.1,1.994e+04,1.029e+03,1.301e+02,2.109e+04
30.7,2.342e+04,1.098e+03,1.376e+02,2.466e+04
32.4,2.750e+04,1.194e+03,1.413e+02,2.884e+04
34.0,3.063e+04,1.083e+03,1.639e+02,3.188e+04
35.6,3.462e+04,9.790e+02,2.003e+02,3.579e+04
37.2,4.060e+04,9.409e+02,2.379e+02,4.178e+04
38.8,4.746e+04,1.041e+03,2.263e+02,4.873e+04
40.4,5.273e+04,1.222e+03,1.951e+02,5.415e+04
42.1,5.900e+04,1.173e+03,2.560e+02,6.043e+04
43.7,6.715e+04,1.109e+03,3.746e+02,6.863e+04
45.3,7.350e+04,1.200e+03,5.842e+02,7.528e+04
46.9,8.122e+04,1.529e+03,1.501e+03,8.425e+04
48.5,9.216e+04,1.993e+03,3.028e+03,9.718e+04
50.2,1.066e+05,2.717e+03,5.056e+03,1.143e+05
51.8,1.185e+05,4.144e+03,9.061e+03,1.317e+05
53.4,1.239e+05,5.607e+03,1.294e+04,1.425e+05
55.0,1.429e+05,7.110e+03,1.629e+04,1.663e+05
56.6,1.840e+05,9.002e+03,2.167e+04,2.147e+05
58.2,2.486e+05,8.517e+03,2.300e+04,2.801e+05
59.9,3.393e+05,6.459e+03,2.354e+04,3.693e+05
61.5,4.692e+05,5.093e+03,2.799e+04,5.023e+05
63.1,6.367e+05,4.373e+03,3.200e+04,6.731e+05
64.7,8.425e+05,3.723e+03,3.477e+04,8.810e+05
66.3,1.018e+06,2.893e+03,3.469e+04,1.055e+06
67.9,1.083e+06,2.886e+03,3.505e+04,1.121e+06
69.6,1.080e+06,3.909e+03,3.675e+04,1.120e+06
71.2,9.952e+05,4.233e+03,3.717e+04,1.037e+06
72.8,8.095e+05,3.182e+03,3.048e+04,8.432e+05
74.4,6.318e+05,2.597e+03,2.145e+04,6.559e+05
76.0,5.051e+05,3.236e+03,1.553e+04,5.239e+05
77.7,3.793e+05,3.618e+03,1.174e+04,3.947e+05
79.3,2.638e+05,3.828e+03,9.671e+03,2.773e+05
80.9,1.879e+05,3.310e+03,1.012e+04,2.013e+05
82.5,1.611e+05,3.579e+03,9.918e+03,1.746e+05
84.1,1.322e+05,6.855e+03,7.367e+03,1.465e+05
85.7,9.548e+04,1.174e+04,4.653e+03,1.119e+05
87.4,6.890e+04,1.731e+04,3.014e+03,8.923e+04
89.0,5.328e+04,2.108e+04,3.149e+03,7.751e+04
90.6,5.467e+04,2.111e+04,5.187e+03,8.096e+04
92.2,6.663e+04,1.949e+04,6.730e+03,9.285e+04
93.8,7.752e+04,1.545e+04,6.342e+03,9.932e+04
95.5,8.147e+04,1.085e+04,5.604e+03,9.792e+04
97.1,8.361e+04,7.738e+03,4.692e+03,9.604e+04
98.7,9.426e+04,1.032e+04,2.939e+03,1.075e+05
100.3,1.236e+05,1.818e+04,1.765e+03,1.436e+05
101.9,1.542e+05,2.408e+04,1.603e+03,1.799e+05
103.5,1.751e+05,3.004e+04,1.651e+03,2.068e+05
105.2,2.043e+05,3.134e+04,2.019e+03,2.377e+05
106.8,3.043e+05,2.376e+04,2.850e+03,3.309e+05
108.4,4.460e+05,2.397e+04,3.053e+03,4.730e+05
110.0,6.645e+05,3.040e+04,3.033e+03,6.979e+05
111.6,1.011e+06,3.886e+04,3.226e+03,1.053e+06
113.2,1.454e+06,4.661e+04,3.657e+03,1.505e+06
114.9,1.982e+06,5.056e+04,5.344e+03,2.038e+06
116.5,2.378e+06,5.281e+04,8.010e+03,2.439e+06
118.1,2.913e+06,5.845e+04,1.007e+04,2.981e+06
119.7,3.440e+06,6.146e+04,1.112e+04,3.512e+06
121.3,3.078e+06,5.168e+04,9.210e+03,3.139e+06
123.0,2.967e+06,4.518e+04,8.082e+03,3.020e+06
124.6,3.144e+06,3.936e+04,7.822e+03,3.192e+06
126.2,3.170e+06,3.395e+04,7.606e+03,3.212e+06
127.8,3.135e+06,2.870e+04,7.415e+03,3.171e+06
129.4,3.171e+06,2.568e+04,7.396e+03,3.204e+06
