freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.128e+02,1.869e+01,2.060e+01,3.521e+02
1.6,1.877e+02,2.500e+01,5.205e+01,2.647e+02
3.1,3.043e+01,2.085e+01,5.142e+01,1.027e+02
4.7,3.366e+02,1.946e+01,5.226e+01,4.084e+02
6.3,1.142e+03,2.021e+01,5.290e+01,1.215e+03
7.8,1.838e+03,2.059e+01,5.595e+01,1.915e+03
9.4,2.575e+03,2.149e+01,5.448e+01,2.651e+03
10.9,3.398e+03,2.263e+01,5.070e+01,3.472e+03
12.5,4.315e+03,2.418e+01,5.654e+01,4.395e+03
14.1,5.369e+03,3.193e+01,6.512e+01,5.466e+03
15.6,6.673e+03,6.356e+01,8.853e+01,6.825e+03
17.2,8.044e+03,6.708e+01,9.076e+01,8.202e+03
18.8,9.648e+03,3.813e+01,5.861e+01,9.745e+03
20.3,1.166e+04,3.277e+01,5.707e+01,1.175e+04
21.9,1.386e+04,3.923e+01,6.272e+01,1.396e+04
23.5,1.609e+04,6.000e+01,6.953e+01,1.622e+04
25.0,1.848e+04,9.794e+01,9.064e+01,1.867e+04
26.6,2.010e+04,1.724e+02,1.783e+02,2.045e+04
28.2,2.115e+04,2.279e+02,3.253e+02,2.170e+04
29.7,2.359e+04,2.330e+02,4.321e+02,2.425e+04
31.3,2.811e+04,2.483e+02,5.185e+02,2.888e+04
32.8,3.271e+04,2.354e+02,5.668e+02,3.351e+04
34.4,3.688e+04,2.145e+02,6.298e+02,3.772e+04
36.0,4.230e+04,3.226e+02,7.874e+02,4.341e+04
37.5,4.955e+04,7.720e+02,1.297e+03,5.162e+04
39.1,5.546e+04,1.628e+03,2.035e+03,5.912e+04
40.7,5.916e+04,2.726e+03,2.566e+03,6.446e+04
42.2,6.520e+04,3.588e+03,2.451e+03,7.124e+04
43.8,7.456e+04,3.497e+03,1.663e+03,7.972e+04
45.4,8.234e+04,3.715e+03,1.736e+03,8.779e+04
46.9,8.756e+04,6.349e+03,5.281e+03,9.919e+04
48.5,9.361e+04,1.040e+04,1.219e+04,1.162e+05
50.0,1.002e+05,1.037e+04,1.451e+04,1.251e+05
51.6,1.095e+05,9.192e+03,1.398e+04,1.326e+05
53.2,1.232e+05,8.579e+03,1.446e+04,1.462e+05
54.7,1.466e+05,7.764e+03,1.543e+04,1.698e+05
56.3,1.791e+05,8.479e+03,1.923e+04,2.068e+05
57.9,2.145e+05,1.028e+04,2.729e+04,2.521e+05
59.4,2.512e+05,9.726e+03,3.904e+04,3.000e+05
61.0,2.895e+05,6.896e+03,5.040e+04,3.468e+05
62.6,3.283e+05,4.615e+03,5.802e+04,3.910e+05
64.1,3.721e+05,4.981e+03,5.547e+04,4.326e+05
65.7,4.452e+05,1.614e+04,4.628e+04,5.077e+05
67.3,5.228e+05,2.678e+04,3.955e+04,5.891e+05
68.8,5.845e+05,3.085e+04,3.538e+04,6.507e+05
70.4,5.953e+05,3.869e+04,3.017e+04,6.642e+05
71.9,5.296e+05,4.052e+04,2.425e+04,5.944e+05
73.5,4.478e+05,4.340e+04,1.832e+04,5.095e+05
75.1,3.852e+05,5.107e+04,1.256e+04,4.489e+05
76.6,3.149e+05,5.161e+04,7.980e+03,3.745e+05
78.2,2.417e+05,3.730e+04,5.454e+03,2.845e+05
79.8,1.826e+05,2.735e+04,3.992e+03,2.139e+05
81.3,1.474e+05,2.095e+04,3.318e+03,1.716e+05
82.9,1.133e+05,1.226e+04,2.757e+03,1.283e+05
84.5,8.565e+04,6.329e+03,2.529e+03,9.451e+04
86.0,6.931e+04,3.793e+03,2.738e+03,7.584e+04
87.6,5.840e+04,2.019e+03,2.823e+03,6.324e+04
89.2,4.848e+04,1.370e+03,2.570e+03,5.242e+04
90.7,4.487e+04,1.389e+03,2.336e+03,4.860e+04
92.3,4.527e+04,1.845e+03,2.213e+03,4.933e+04
93.8,4.311e+04,3.195e+03,2.287e+03,4.859e+04
95.4,4.018e+04,5.867e+03,2.490e+03,4.853e+04
97.0,4.227e+04,9.614e+03,2.568e+03,5.445e+04
98.5,5.298e+04,1.454e+04,2.522e+03,7.004e+04
100.1,6.654e+04,1.999e+04,2.322e+03,8.886e+04
101.7,8.010e+04,2.685e+04,1.908e+03,1.089e+05
103.2,9.240e+04,3.306e+04,1.304e+03,1.268e+05
104.8,1.044e+05,3.631e+04,7.763e+02,1.415e+05
106.4,1.237e+05,3.799e+04,4.631e+02,1.621e+05
107.9,1.422e+05,3.750e+04,2.930e+02,1.800e+05
109.5,1.561e+05,3.343e+04,2.948e+02,1.898e+05
111.0,1.864e+05,3.195e+04,3.926e+02,2.187e+05
112.6,2.230e+05,3.081e+04,5.115e+02,2.543e+05
114.2,2.627e+05,2.977e+04,5.970e+02,2.931e+05
115.7,3.062e+05,2.993e+04,6.929e+02,3.368e+05
117.3,3.593e+05,3.123e+04,8.361e+02,3.914e+05
118.9,4.127e+05,3.175e+04,9.379e+02,4.454e+05
120.4,3.958e+05,2.691e+04,8.955e+02,4.236e+05
122.0,3.130e+05,1.814e+04,6.887e+02,3.319e+05
123.6,2.992e+05,1.625e+04,7.606e+02,3.162e+05
125.1,2.793e+05,1.469e+04,8.404e+02,2.949e+05
126.7,2.715e+05,1.421e+04,1.031e+03,2.868e+05
128.3,3.025e+05,1.389e+04,1.367e+03,3.177e+05
129.8,3.543e+05,1.423e+04,1.562e+03,3.700e+05
131.4,3.991e+05,1.594e+04,1.848e+03,4.169e+05
132.9,3.253e+05,1.202e+04,1.428e+03,3.387e+05
