freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.497e+02,4.176e+01,3.160e+01,6.231e+02
1.6,3.230e+02,4.050e+01,5.701e+01,4.205e+02
3.1,3.566e+01,2.321e+01,5.160e+01,1.105e+02
4.7,3.526e+02,2.426e+01,5.268e+01,4.295e+02
6.3,1.183e+03,2.447e+01,5.288e+01,1.260e+03
7.8,1.891e+03,2.369e+01,5.258e+01,1.968e+03
9.4,2.679e+03,2.412e+01,5.348e+01,2.757e+03
11.0,3.617e+03,2.205e+01,5.205e+01,3.691e+03
12.5,4.700e+03,2.559e+01,5.620e+01,4.782e+03
14.1,5.940e+03,2.706e+01,5.827e+01,6.025e+03
15.7,7.398e+03,2.682e+01,6.058e+01,7.485e+03
17.2,9.064e+03,2.356e+01,5.966e+01,9.147e+03
18.8,1.090e+04,2.430e+01,5.522e+01,1.098e+04
20.4,1.290e+04,2.694e+01,5.406e+01,1.298e+04
21.9,1.535e+04,2.883e+01,5.707e+01,1.544e+04
23.5,1.776e+04,3.554e+01,6.003e+01,1.786e+04
25.1,2.023e+04,5.097e+01,7.228e+01,2.035e+04
26.6,2.237e+04,1.032e+02,1.266e+02,2.260e+04
28.2,2.428e+04,2.199e+02,2.769e+02,2.478e+04
29.8,2.748e+04,2.985e+02,4.032e+02,2.818e+04
31.3,3.257e+04,3.006e+02,4.713e+02,3.334e+04
32.9,3.783e+04,3.123e+02,5.356e+02,3.868e+04
34.5,4.269e+04,4.184e+02,7.099e+02,4.382e+04
36.0,4.901e+04,6.336e+02,1.020e+03,5.067e+04
37.6,5.585e+04,8.390e+02,1.292e+03,5.798e+04
39.1,6.215e+04,9.017e+02,1.355e+03,6.441e+04
40.7,6.851e+04,8.812e+02,1.390e+03,7.078e+04
42.3,7.524e+04,8.500e+02,1.374e+03,7.746e+04
43.8,8.443e+04,9.423e+02,1.095e+03,8.647e+04
45.4,9.590e+04,1.660e+03,1.055e+03,9.861e+04
47.0,1.057e+05,3.832e+03,3.364e+03,1.129e+05
48.5,1.139e+05,8.172e+03,1.102e+04,1.331e+05
50.1,1.220e+05,1.128e+04,1.937e+04,1.527e+05
51.7,1.319e+05,9.769e+03,2.087e+04,1.625e+05
53.2,1.461e+05,8.017e+03,2.104e+04,1.751e+05
54.8,1.722e+05,7.367e+03,2.327e+04,2.028e+05
56.4,2.140e+05,7.452e+03,2.860e+04,2.500e+05
57.9,2.701e+05,8.215e+03,4.141e+04,3.197e+05
59.5,3.367e+05,8.850e+03,6.506e+04,4.107e+05
61.1,3.958e+05,1.162e+04,8.548e+04,4.929e+05
62.6,4.363e+05,1.711e+04,8.650e+04,5.400e+05
64.2,4.871e+05,2.015e+04,7.653e+04,5.838e+05
65.8,5.892e+05,2.278e+04,6.579e+04,6.778e+05
67.3,7.576e+05,2.795e+04,5.926e+04,8.448e+05
68.9,9.540e+05,3.932e+04,5.655e+04,1.050e+06
70.5,1.007e+06,4.580e+04,5.063e+04,1.103e+06
72.0,8.931e+05,4.478e+04,4.233e+04,9.802e+05
73.6,6.908e+05,3.761e+04,3.131e+04,7.597e+05
75.2,4.995e+05,2.002e+04,2.031e+04,5.399e+05
76.7,3.812e+05,1.172e+04,1.392e+04,4.068e+05
78.3,2.889e+05,4.381e+03,9.523e+03,3.028e+05
79.9,2.137e+05,1.408e+03,7.330e+03,2.225e+05
81.4,1.695e+05,1.482e+03,6.165e+03,1.771e+05
83.0,1.448e+05,3.979e+03,5.788e+03,1.545e+05
84.6,1.365e+05,1.237e+04,6.142e+03,1.550e+05
86.1,1.565e+05,2.500e+04,5.806e+03,1.873e+05
87.7,1.916e+05,3.878e+04,5.042e+03,2.354e+05
89.3,2.286e+05,5.145e+04,4.125e+03,2.842e+05
90.8,2.592e+05,6.034e+04,3.169e+03,3.227e+05
92.4,2.853e+05,6.843e+04,2.708e+03,3.565e+05
94.0,3.054e+05,8.156e+04,3.243e+03,3.902e+05
95.5,3.135e+05,1.008e+05,3.638e+03,4.179e+05
97.1,3.029e+05,1.209e+05,2.996e+03,4.268e+05
98.7,2.839e+05,1.350e+05,2.057e+03,4.210e+05
100.2,2.601e+05,1.372e+05,1.506e+03,3.989e+05
101.8,2.431e+05,1.291e+05,1.347e+03,3.735e+05
103.4,2.434e+05,1.181e+05,1.269e+03,3.628e+05
104.9,2.687e+05,1.076e+05,1.341e+03,3.776e+05
106.5,3.336e+05,1.030e+05,1.660e+03,4.383e+05
108.1,4.138e+05,1.031e+05,1.997e+03,5.190e+05
109.6,5.169e+05,1.039e+05,2.323e+03,6.231e+05
111.2,6.220e+05,1.046e+05,2.692e+03,7.292e+05
112.8,7.432e+05,1.092e+05,3.169e+03,8.556e+05
114.3,1.008e+06,1.180e+05,4.093e+03,1.130e+06
115.9,1.380e+06,1.258e+05,4.995e+03,1.511e+06
117.4,1.792e+06,1.328e+05,5.938e+03,1.931e+06
119.0,2.187e+06,1.363e+05,6.914e+03,2.330e+06
120.6,1.839e+06,1.097e+05,5.656e+03,1.954e+06
122.1,1.069e+06,7.453e+04,3.314e+03,1.147e+06
123.7,1.061e+06,7.482e+04,3.779e+03,1.139e+06
125.3,1.190e+06,7.115e+04,4.544e+03,1.266e+06
