freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.668e+01,8.378e+02,1.354e+02,9.899e+02
1.6,3.289e+01,4.862e+02,1.129e+02,6.321e+02
3.1,3.106e+01,3.797e+01,5.394e+01,1.230e+02
4.7,2.935e+01,3.594e+02,5.667e+01,4.454e+02
6.3,2.905e+01,1.186e+03,6.121e+01,1.276e+03
7.8,3.125e+01,1.920e+03,6.510e+01,2.016e+03
9.4,2.987e+01,2.710e+03,7.200e+01,2.812e+03
11.0,2.616e+01,3.617e+03,7.256e+01,3.715e+03
12.5,2.854e+01,4.679e+03,6.936e+01,4.777e+03
14.1,2.988e+01,6.322e+03,7.309e+01,6.425e+03
15.7,3.153e+01,8.387e+03,8.248e+01,8.501e+03
17.2,3.348e+01,1.045e+04,8.619e+01,1.057e+04
18.8,3.285e+01,1.293e+04,8.375e+01,1.304e+04
20.4,3.453e+01,1.489e+04,8.029e+01,1.500e+04
21.9,3.667e+01,1.690e+04,7.351e+01,1.701e+04
23.5,4.212e+01,1.971e+04,8.629e+01,1.984e+04
25.1,5.050e+01,1.982e+04,1.451e+02,2.001e+04
26.6,8.561e+01,1.710e+04,2.580e+02,1.745e+04
28.2,1.550e+02,1.510e+04,3.048e+02,1.556e+04
29.8,1.870e+02,1.407e+04,3.090e+02,1.457e+04
31.3,1.846e+02,1.495e+04,4.884e+02,1.563e+04
32.9,1.906e+02,1.591e+04,5.981e+02,1.670e+04
34.5,2.221e+02,1.499e+04,7.875e+02,1.600e+04
36.0,2.868e+02,1.487e+04,1.466e+03,1.663e+04
37.6,3.706e+02,1.364e+04,3.326e+03,1.733e+04
39.2,4.420e+02,1.184e+04,7.207e+03,1.948e+04
40.7,4.798e+02,1.042e+04,1.263e+04,2.353e+04
42.3,4.656e+02,9.903e+03,2.207e+04,3.244e+04
43.9,4.808e+02,1.485e+04,4.711e+04,6.245e+04
45.4,8.800e+02,4.993e+04,9.706e+04,1.479e+05
47.0,1.476e+03,1.315e+05,1.539e+05,2.869e+05
48.6,1.633e+03,2.555e+05,2.193e+05,4.764e+05
50.1,1.176e+03,3.903e+05,2.689e+05,6.604e+05
51.7,8.360e+02,4.632e+05,2.653e+05,7.294e+05
53.3,9.709e+02,5.215e+05,2.604e+05,7.828e+05
54.8,1.191e+03,6.340e+05,2.921e+05,9.273e+05
56.4,1.263e+03,7.501e+05,3.411e+05,1.092e+06
58.0,1.060e+03,8.129e+05,4.004e+05,1.214e+06
59.5,9.066e+02,7.886e+05,4.113e+05,1.201e+06
61.1,1.501e+03,7.038e+05,3.146e+05,1.020e+06
62.7,2.907e+03,6.407e+05,1.792e+05,8.228e+05
64.2,4.500e+03,7.110e+05,9.165e+04,8.071e+05
65.8,6.498e+03,9.798e+05,6.426e+04,1.051e+06
67.4,8.767e+03,1.587e+06,9.241e+04,1.689e+06
68.9,1.227e+04,2.640e+06,1.722e+05,2.825e+06
70.5,1.801e+04,3.708e+06,2.559e+05,3.982e+06
72.1,2.174e+04,4.092e+06,2.768e+05,4.391e+06
73.6,1.873e+04,3.450e+06,2.205e+05,3.689e+06
75.2,1.335e+04,2.485e+06,1.473e+05,2.646e+06
76.8,1.079e+04,2.017e+06,1.147e+05,2.142e+06
78.3,8.398e+03,1.706e+06,9.603e+04,1.811e+06
79.9,6.788e+03,1.490e+06,8.662e+04,1.584e+06
81.5,5.152e+03,1.343e+06,8.049e+04,1.428e+06
83.0,4.105e+03,1.254e+06,7.689e+04,1.335e+06
84.6,4.673e+03,1.194e+06,7.675e+04,1.275e+06
86.2,5.828e+03,1.168e+06,7.919e+04,1.253e+06
87.7,7.103e+03,1.125e+06,7.870e+04,1.210e+06
89.3,7.049e+03,1.002e+06,7.004e+04,1.079e+06
90.9,5.715e+03,8.853e+05,6.079e+04,9.518e+05
92.4,4.437e+03,7.925e+05,5.398e+04,8.509e+05
94.0,3.641e+03,7.118e+05,4.855e+04,7.640e+05
95.6,3.033e+03,6.389e+05,4.379e+04,6.858e+05
97.1,2.628e+03,5.798e+05,4.031e+04,6.228e+05
98.7,2.475e+03,5.274e+05,3.707e+04,5.669e+05
100.3,2.518e+03,4.806e+05,3.374e+04,5.168e+05
101.8,2.378e+03,4.320e+05,3.054e+04,4.649e+05
103.4,2.173e+03,3.838e+05,2.732e+04,4.133e+05
105.0,2.003e+03,3.497e+05,2.514e+04,3.768e+05
106.5,2.011e+03,3.259e+05,2.360e+04,3.515e+05
108.1,2.055e+03,3.269e+05,2.338e+04,3.524e+05
109.7,2.351e+03,3.355e+05,2.335e+04,3.612e+05
111.2,2.991e+03,3.440e+05,2.293e+04,3.699e+05
112.8,3.880e+03,3.595e+05,2.312e+04,3.865e+05
114.4,5.126e+03,3.822e+05,2.383e+04,4.111e+05
115.9,6.382e+03,4.068e+05,2.496e+04,4.382e+05
117.5,7.071e+03,4.077e+05,2.470e+04,4.394e+05
119.1,7.232e+03,3.696e+05,2.212e+04,3.990e+05
120.6,7.103e+03,2.797e+05,1.658e+04,3.034e+05
122.2,6.715e+03,1.764e+05,1.042e+04,1.936e+05
123.8,5.382e+03,1.753e+05,1.059e+04,1.913e+05
125.3,5.057e+03,2.020e+05,1.251e+04,2.196e+05
126.9,5.101e+03,2.125e+05,1.327e+04,2.308e+05
128.5,5.403e+03,2.254e+05,1.472e+04,2.455e+05
130.0,6.501e+03,2.416e+05,1.659e+04,2.647e+05
131.6,7.586e+03,2.524e+05,1.829e+04,2.783e+05
133.2,8.264e+03,1.522e+05,1.148e+04,1.719e+05
134.7,1.006e+04,4.678e+04,4.016e+03,6.086e+04
136.3,1.266e+04,3.504e+04,3.245e+03,5.095e+04
137.9,1.308e+04,2.765e+04,2.604e+03,4.334e+04
139.4,1.456e+04,2.405e+04,2.180e+03,4.079e+04
141.0,1.895e+04,2.229e+04,2.073e+03,4.332e+04
142.6,2.101e+04,1.428e+04,1.415e+03,3.671e+04
144.1,2.207e+04,1.135e+04,1.110e+03,3.453e+04
145.7,2.591e+04,1.488e+04,1.277e+03,4.206e+04
147.3,3.305e+04,1.667e+04,1.445e+03,5.116e+04
148.8,3.082e+04,1.904e+04,1.609e+03,5.148e+04
150.4,2.405e+04,2.315e+04,1.793e+03,4.899e+04
152.0,1.608e+04,2.829e+04,2.041e+03,4.642e+04
153.5,1.087e+04,3.412e+04,2.448e+03,4.745e+04
155.1,6.616e+03,4.435e+04,3.131e+03,5.410e+04
156.7,4.719e+03,5.633e+04,4.017e+03,6.506e+04
158.2,6.086e+03,6.466e+04,4.745e+03,7.549e+04
159.8,1.109e+04,7.142e+04,5.378e+03,8.788e+04
161.4,1.221e+04,6.620e+04,4.833e+03,8.325e+04
162.9,1.057e+04,6.500e+04,4.240e+03,7.981e+04
164.5,1.096e+04,6.153e+04,3.666e+03,7.615e+04
166.1,1.320e+04,7.438e+04,4.010e+03,9.159e+04
167.6,2.123e+04,8.956e+04,4.514e+03,1.153e+05
169.2,3.120e+04,7.735e+04,3.817e+03,1.124e+05
170.8,4.276e+04,7.221e+04,3.704e+03,1.187e+05
172.3,4.872e+04,7.090e+04,3.914e+03,1.235e+05
173.9,4.765e+04,7.057e+04,4.034e+03,1.222e+05
175.5,4.439e+04,6.758e+04,3.973e+03,1.159e+05
177.0,3.965e+04,5.979e+04,3.557e+03,1.030e+05
178.6,3.556e+04,5.220e+04,3.136e+03,9.089e+04
180.2,2.887e+04,4.127e+04,2.466e+03,7.260e+04
181.7,2.170e+04,3.071e+04,1.790e+03,5.419e+04
183.3,1.723e+04,2.567e+04,1.540e+03,4.445e+04
184.9,1.500e+04,2.499e+04,1.589e+03,4.158e+04
186.4,1.460e+04,2.562e+04,1.671e+03,4.190e+04
188.0,1.413e+04,2.578e+04,1.665e+03,4.157e+04
189.6,1.148e+04,2.617e+04,1.570e+03,3.922e+04
191.1,1.060e+04,2.754e+04,1.534e+03,3.968e+04
192.7,1.166e+04,2.785e+04,1.451e+03,4.096e+04
194.2,1.251e+04,2.955e+04,1.360e+03,4.342e+04
195.8,1.441e+04,3.288e+04,1.432e+03,4.872e+04
197.4,1.648e+04,3.624e+04,1.567e+03,5.429e+04
198.9,1.785e+04,3.937e+04,1.725e+03,5.894e+04
