freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.011e+02,5.396e+01,4.053e+01,4.956e+02
1.6,2.545e+02,6.022e+01,1.097e+02,4.244e+02
3.2,5.779e+01,3.910e+01,1.158e+02,2.127e+02
4.8,4.055e+02,4.489e+01,1.297e+02,5.801e+02
6.4,1.170e+03,4.966e+01,1.268e+02,1.347e+03
8.0,1.802e+03,4.740e+01,1.130e+02,1.963e+03
9.7,2.504e+03,4.849e+01,1.190e+02,2.672e+03
11.3,3.414e+03,5.146e+01,1.333e+02,3.599e+03
12.9,4.442e+03,5.717e+01,1.359e+02,4.636e+03
14.5,5.607e+03,6.397e+01,1.372e+02,5.809e+03
16.1,6.952e+03,7.038e+01,1.307e+02,7.153e+03
17.7,8.619e+03,7.850e+01,1.340e+02,8.831e+03
19.3,1.066e+04,1.012e+02,1.429e+02,1.090e+04
20.9,1.331e+04,1.303e+02,1.438e+02,1.358e+04
22.5,1.558e+04,1.652e+02,1.539e+02,1.590e+04
24.1,1.676e+04,1.496e+02,1.615e+02,1.707e+04
25.7,1.827e+04,1.183e+02,1.544e+02,1.855e+04
27.3,2.044e+04,9.902e+01,1.392e+02,2.068e+04
29.0,2.345e+04,1.039e+02,1.237e+02,2.368e+04
30.6,2.829e+04,1.346e+02,1.124e+02,2.854e+04
32.2,3.298e+04,1.721e+02,1.174e+02,3.327e+04
33.8,3.512e+04,1.734e+02,1.253e+02,3.542e+04
35.4,3.817e+04,1.668e+02,1.397e+02,3.847e+04
37.0,4.435e+04,2.001e+02,1.440e+02,4.469e+04
38.6,5.160e+04,2.412e+02,1.501e+02,5.199e+04
40.2,5.847e+04,2.967e+02,1.514e+02,5.892e+04
41.8,6.552e+04,3.593e+02,1.591e+02,6.604e+04
43.4,7.728e+04,4.434e+02,1.572e+02,7.788e+04
45.0,9.085e+04,5.791e+02,1.713e+02,9.160e+04
46.6,1.042e+05,7.110e+02,2.418e+02,1.051e+05
48.3,1.223e+05,7.382e+02,2.811e+02,1.233e+05
49.9,1.464e+05,6.332e+02,2.772e+02,1.473e+05
51.5,1.657e+05,4.481e+02,2.939e+02,1.664e+05
53.1,1.789e+05,2.554e+02,5.244e+02,1.797e+05
54.7,2.154e+05,4.011e+02,1.730e+03,2.176e+05
56.3,2.828e+05,3.251e+03,6.938e+03,2.930e+05
57.9,3.582e+05,1.275e+04,2.022e+04,3.912e+05
59.5,4.529e+05,3.015e+04,4.076e+04,5.238e+05
61.1,5.906e+05,5.071e+04,6.484e+04,7.061e+05
62.7,7.425e+05,6.645e+04,8.523e+04,8.941e+05
64.3,8.958e+05,6.941e+04,8.852e+04,1.054e+06
65.9,9.905e+05,6.871e+04,8.339e+04,1.143e+06
67.6,9.011e+05,7.280e+04,7.766e+04,1.052e+06
69.2,6.790e+05,7.041e+04,6.604e+04,8.154e+05
70.8,4.991e+05,5.903e+04,4.868e+04,6.068e+05
72.4,3.620e+05,4.909e+04,3.760e+04,4.487e+05
74.0,2.134e+05,3.415e+04,2.590e+04,2.734e+05
75.6,1.200e+05,2.183e+04,1.728e+04,1.591e+05
77.2,7.660e+04,1.754e+04,1.376e+04,1.079e+05
78.8,6.357e+04,1.816e+04,1.571e+04,9.743e+04
80.4,6.787e+04,1.831e+04,1.868e+04,1.049e+05
82.0,8.174e+04,1.704e+04,1.893e+04,1.177e+05
83.6,9.573e+04,1.635e+04,1.902e+04,1.311e+05
85.2,1.012e+05,1.670e+04,2.239e+04,1.403e+05
86.9,9.901e+04,1.515e+04,2.848e+04,1.426e+05
88.5,1.084e+05,8.635e+03,3.430e+04,1.514e+05
