freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.454e+01,1.634e+02,3.640e+02,5.519e+02
1.5,3.010e+01,1.125e+02,2.202e+02,3.629e+02
3.0,2.071e+01,3.925e+01,1.945e+01,7.941e+01
4.6,2.033e+01,2.945e+02,2.055e+01,3.354e+02
6.1,1.784e+01,1.098e+03,2.112e+01,1.137e+03
7.6,1.986e+01,1.801e+03,2.360e+01,1.845e+03
9.1,2.338e+01,2.548e+03,2.292e+01,2.594e+03
10.6,2.321e+01,3.388e+03,2.746e+01,3.438e+03
12.1,2.411e+01,4.436e+03,3.253e+01,4.493e+03
13.7,2.624e+01,5.896e+03,4.335e+01,5.966e+03
15.2,3.032e+01,7.901e+03,5.910e+01,7.991e+03
16.7,3.507e+01,9.442e+03,8.270e+01,9.560e+03
18.2,4.366e+01,1.167e+04,1.337e+02,1.184e+04
19.7,5.085e+01,1.490e+04,2.413e+02,1.519e+04
21.2,6.086e+01,1.789e+04,4.356e+02,1.839e+04
22.8,6.732e+01,2.217e+04,7.483e+02,2.298e+04
24.3,8.626e+01,2.455e+04,1.139e+03,2.578e+04
25.8,1.332e+02,2.296e+04,1.445e+03,2.454e+04
27.3,2.065e+02,2.189e+04,1.698e+03,2.379e+04
28.8,2.995e+02,2.194e+04,2.092e+03,2.434e+04
30.3,3.928e+02,2.433e+04,3.005e+03,2.773e+04
31.9,4.946e+02,2.780e+04,4.038e+03,3.233e+04
33.4,6.331e+02,2.985e+04,5.596e+03,3.608e+04
34.9,7.983e+02,3.365e+04,8.541e+03,4.299e+04
36.4,1.019e+03,4.572e+04,1.493e+04,6.167e+04
37.9,1.309e+03,6.500e+04,2.740e+04,9.371e+04
39.4,1.684e+03,9.135e+04,5.289e+04,1.459e+05
41.0,2.086e+03,1.132e+05,9.366e+04,2.090e+05
42.5,2.390e+03,1.345e+05,1.483e+05,2.852e+05
44.0,2.478e+03,1.671e+05,2.253e+05,3.948e+05
45.5,2.356e+03,2.291e+05,3.882e+05,6.196e+05
47.0,2.596e+03,3.205e+05,7.424e+05,1.065e+06
48.5,2.684e+03,3.346e+05,1.127e+06,1.465e+06
50.1,2.755e+03,2.081e+05,1.103e+06,1.314e+06
51.6,3.323e+03,8.906e+04,8.713e+05,9.637e+05
53.1,4.075e+03,3.527e+04,7.278e+05,7.671e+05
54.6,4.668e+03,2.199e+04,7.223e+05,7.490e+05
56.1,5.296e+03,3.267e+04,8.078e+05,8.458e+05
57.6,7.272e+03,6.029e+04,8.511e+05,9.186e+05
59.2,1.164e+04,8.689e+04,7.212e+05,8.197e+05
60.7,1.776e+04,9.492e+04,5.120e+05,6.247e+05
62.2,2.560e+04,8.914e+04,3.593e+05,4.740e+05
63.7,3.622e+04,7.978e+04,3.054e+05,4.214e+05
65.2,5.061e+04,7.664e+04,3.450e+05,4.722e+05
66.7,7.173e+04,9.714e+04,5.073e+05,6.762e+05
68.3,9.740e+04,1.426e+05,7.368e+05,9.768e+05
69.8,1.200e+05,1.830e+05,8.876e+05,1.191e+06
71.3,1.368e+05,2.037e+05,9.045e+05,1.245e+06
72.8,1.331e+05,2.044e+05,8.202e+05,1.158e+06
74.3,9.873e+04,1.742e+05,6.094e+05,8.823e+05
75.8,6.826e+04,1.562e+05,4.858e+05,7.102e+05
77.4,4.639e+04,1.506e+05,4.278e+05,6.247e+05
78.9,2.694e+04,1.356e+05,3.523e+05,5.148e+05
80.4,1.439e+04,1.170e+05,2.786e+05,4.100e+05
81.9,6.751e+03,1.026e+05,2.242e+05,3.336e+05
83.4,3.875e+03,9.120e+04,1.865e+05,2.815e+05
85.0,3.409e+03,8.319e+04,1.615e+05,2.481e+05
86.5,3.442e+03,7.808e+04,1.447e+05,2.263e+05
88.0,3.445e+03,7.322e+04,1.306e+05,2.072e+05
89.5,3.413e+03,6.850e+04,1.184e+05,1.903e+05
91.0,3.553e+03,6.515e+04,1.095e+05,1.782e+05
92.5,3.864e+03,6.180e+04,1.025e+05,1.682e+05
94.1,3.898e+03,5.817e+04,9.761e+04,1.597e+05
95.6,3.520e+03,5.412e+04,9.316e+04,1.508e+05
97.1,2.996e+03,5.024e+04,8.920e+04,1.424e+05
98.6,2.437e+03,4.704e+04,8.470e+04,1.342e+05
100.1,1.908e+03,4.301e+04,7.689e+04,1.218e+05
101.6,1.292e+03,3.828e+04,6.728e+04,1.068e+05
103.2,7.879e+02,3.318e+04,5.837e+04,9.234e+04
104.7,6.577e+02,2.958e+04,5.338e+04,8.361e+04
106.2,7.690e+02,2.754e+04,5.125e+04,7.956e+04
107.7,1.194e+03,2.618e+04,5.099e+04,7.836e+04
109.2,1.818e+03,2.439e+04,5.036e+04,7.657e+04
110.7,2.562e+03,2.293e+04,5.080e+04,7.630e+04
112.3,3.575e+03,2.186e+04,5.199e+04,7.743e+04
113.8,4.700e+03,2.040e+04,5.244e+04,7.754e+04
115.3,6.098e+03,1.874e+04,5.205e+04,7.690e+04
116.8,7.964e+03,1.772e+04,5.226e+04,7.795e+04
118.3,1.008e+04,1.718e+04,5.207e+04,7.933e+04
119.8,1.140e+04,1.551e+04,4.698e+04,7.389e+04
121.4,1.032e+04,9.812e+03,2.961e+04,4.974e+04
122.9,9.350e+03,7.217e+03,2.196e+04,3.853e+04
124.4,1.126e+04,8.263e+03,2.320e+04,4.273e+04
125.9,1.512e+04,9.796e+03,2.625e+04,5.117e+04
127.4,1.720e+04,1.096e+04,2.835e+04,5.651e+04
128.9,1.916e+04,1.261e+04,3.058e+04,6.234e+04
130.5,2.122e+04,1.450e+04,3.294e+04,6.866e+04
132.0,2.136e+04,1.472e+04,3.087e+04,6.694e+04
133.5,1.482e+04,6.763e+03,1.255e+04,3.413e+04
135.0,1.089e+04,2.467e+03,3.594e+03,1.695e+04
136.5,9.839e+03,2.273e+03,3.181e+03,1.529e+04
138.0,9.635e+03,1.962e+03,3.247e+03,1.484e+04
139.6,1.080e+04,1.666e+03,2.874e+03,1.534e+04
141.1,1.165e+04,1.392e+03,2.373e+03,1.542e+04
142.6,1.069e+04,9.644e+02,2.429e+03,1.408e+04
144.1,1.015e+04,7.488e+02,2.709e+03,1.360e+04
145.6,1.007e+04,6.098e+02,3.180e+03,1.386e+04
147.1,8.863e+03,4.876e+02,3.608e+03,1.296e+04
148.7,7.691e+03,5.314e+02,4.682e+03,1.290e+04
150.2,7.184e+03,7.735e+02,6.112e+03,1.407e+04
151.7,6.581e+03,1.062e+03,6.632e+03,1.427e+04
153.2,4.781e+03,1.125e+03,6.734e+03,1.264e+04
154.7,2.669e+03,1.332e+03,6.652e+03,1.065e+04
156.2,1.716e+03,1.906e+03,6.193e+03,9.815e+03
157.8,1.347e+03,2.620e+03,6.654e+03,1.062e+04
159.3,2.309e+03,4.838e+03,8.678e+03,1.582e+04
160.8,6.359e+03,7.356e+03,1.074e+04,2.445e+04
162.3,9.933e+03,6.762e+03,9.130e+03,2.583e+04
163.8,1.114e+04,5.410e+03,1.107e+04,2.762e+04
165.3,1.105e+04,6.358e+03,1.795e+04,3.535e+04
166.9,2.110e+04,6.933e+03,1.773e+04,4.576e+04
168.4,2.932e+04,4.953e+03,1.691e+04,5.118e+04
169.9,3.182e+04,3.195e+03,1.794e+04,5.295e+04
171.4,3.342e+04,2.429e+03,2.077e+04,5.662e+04
172.9,3.279e+04,2.709e+03,2.404e+04,5.954e+04
174.5,2.477e+04,3.864e+03,2.460e+04,5.323e+04
176.0,1.775e+04,5.396e+03,2.212e+04,4.526e+04
177.5,1.321e+04,5.328e+03,1.666e+04,3.520e+04
179.0,1.115e+04,4.950e+03,1.267e+04,2.878e+04
180.5,1.045e+04,4.944e+03,1.034e+04,2.574e+04
182.0,1.067e+04,4.821e+03,8.748e+03,2.424e+04
183.6,1.075e+04,4.956e+03,7.859e+03,2.356e+04
185.1,1.088e+04,5.096e+03,7.232e+03,2.321e+04
186.6,9.447e+03,4.798e+03,6.467e+03,2.071e+04
188.1,8.202e+03,4.572e+03,5.944e+03,1.872e+04
189.6,7.871e+03,5.211e+03,6.173e+03,1.925e+04
191.1,8.055e+03,7.777e+03,7.376e+03,2.321e+04
192.7,8.188e+03,1.129e+04,8.557e+03,2.804e+04
194.2,7.954e+03,1.292e+04,8.161e+03,2.904e+04
195.7,7.682e+03,1.464e+04,7.858e+03,3.018e+04
197.2,7.145e+03,1.414e+04,7.294e+03,2.858e+04
198.7,6.100e+03,1.373e+04,6.844e+03,2.668e+04
