freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.288e+01,6.395e+02,2.456e+02,9.180e+02
1.6,4.973e+01,3.911e+02,2.268e+02,6.676e+02
3.2,3.907e+01,6.098e+01,1.143e+02,2.144e+02
4.9,4.078e+01,4.458e+02,1.268e+02,6.134e+02
6.5,3.858e+01,1.321e+03,1.292e+02,1.489e+03
8.1,3.892e+01,2.084e+03,1.295e+02,2.252e+03
9.7,3.764e+01,2.931e+03,1.348e+02,3.103e+03
11.3,3.928e+01,3.899e+03,1.348e+02,4.073e+03
12.9,3.906e+01,5.104e+03,1.323e+02,5.276e+03
14.6,4.122e+01,7.032e+03,1.379e+02,7.211e+03
16.2,4.341e+01,9.203e+03,1.394e+02,9.385e+03
17.8,4.868e+01,1.125e+04,1.440e+02,1.144e+04
19.4,5.053e+01,1.352e+04,1.283e+02,1.370e+04
21.0,5.794e+01,1.668e+04,1.229e+02,1.686e+04
22.7,6.553e+01,2.024e+04,1.232e+02,2.042e+04
24.3,6.204e+01,2.321e+04,1.537e+02,2.343e+04
25.9,5.147e+01,2.486e+04,1.800e+02,2.509e+04
27.5,5.000e+01,2.672e+04,1.639e+02,2.694e+04
29.1,5.363e+01,2.854e+04,1.488e+02,2.874e+04
30.7,6.011e+01,3.437e+04,1.486e+02,3.458e+04
32.4,7.332e+01,4.378e+04,1.594e+02,4.401e+04
34.0,8.764e+01,5.097e+04,2.426e+02,5.130e+04
35.6,9.482e+01,6.038e+04,5.556e+02,6.103e+04
37.2,1.362e+02,7.819e+04,1.350e+03,7.967e+04
38.8,2.368e+02,1.052e+05,3.226e+03,1.086e+05
40.5,3.381e+02,1.339e+05,6.091e+03,1.403e+05
42.1,3.989e+02,1.526e+05,1.026e+04,1.633e+05
43.7,3.300e+02,2.209e+05,1.900e+04,2.402e+05
45.3,2.078e+02,3.896e+05,4.417e+04,4.340e+05
46.9,9.219e+02,6.377e+05,1.103e+05,7.489e+05
48.6,2.558e+03,6.661e+05,1.795e+05,8.481e+05
50.2,2.921e+03,4.164e+05,1.885e+05,6.078e+05
51.8,2.487e+03,2.225e+05,1.816e+05,4.067e+05
