freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.466e+01,6.017e+02,1.444e+02,8.208e+02
1.6,2.784e+02,1.055e+03,1.767e+02,1.510e+03
3.2,3.187e+02,1.115e+03,1.283e+02,1.562e+03
4.9,2.427e+02,1.537e+03,1.221e+02,1.902e+03
6.5,2.941e+02,2.075e+03,1.226e+02,2.492e+03
8.1,2.714e+02,2.969e+03,1.287e+02,3.369e+03
9.7,2.983e+02,3.803e+03,1.302e+02,4.232e+03
11.3,3.042e+02,4.750e+03,1.395e+02,5.194e+03
12.9,3.105e+02,5.915e+03,1.414e+02,6.367e+03
14.6,3.162e+02,7.486e+03,1.387e+02,7.941e+03
16.2,3.169e+02,9.610e+03,1.464e+02,1.007e+04
17.8,3.150e+02,1.144e+04,1.350e+02,1.189e+04
19.4,3.027e+02,1.370e+04,1.325e+02,1.413e+04
21.0,2.941e+02,1.569e+04,1.275e+02,1.611e+04
22.6,2.989e+02,1.763e+04,1.236e+02,1.805e+04
24.3,3.194e+02,1.892e+04,1.246e+02,1.937e+04
25.9,3.470e+02,1.820e+04,1.277e+02,1.868e+04
27.5,3.621e+02,1.725e+04,1.563e+02,1.777e+04
29.1,4.215e+02,1.594e+04,2.426e+02,1.661e+04
30.7,4.682e+02,1.618e+04,3.810e+02,1.703e+04
32.4,5.037e+02,1.702e+04,4.947e+02,1.802e+04
34.0,5.572e+02,1.551e+04,6.708e+02,1.674e+04
35.6,6.372e+02,1.601e+04,9.414e+02,1.758e+04
37.2,7.249e+02,1.965e+04,1.578e+03,2.195e+04
38.8,8.159e+02,2.203e+04,3.051e+03,2.590e+04
40.4,9.037e+02,1.900e+04,5.570e+03,2.548e+04
42.1,9.318e+02,1.397e+04,1.035e+04,2.525e+04
43.7,1.114e+03,1.101e+04,2.317e+04,3.529e+04
45.3,1.484e+03,1.456e+04,5.046e+04,6.651e+04
46.9,1.878e+03,3.030e+04,9.203e+04,1.242e+05
48.5,2.227e+03,6.575e+04,1.686e+05,2.366e+05
50.1,2.518e+03,1.292e+05,2.553e+05,3.869e+05
51.8,2.753e+03,2.028e+05,3.202e+05,5.258e+05
