freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.146e+01,1.302e+02,3.062e+02,4.579e+02
1.5,2.655e+01,9.396e+01,1.799e+02,3.005e+02
3.0,1.921e+01,3.292e+01,2.081e+01,7.293e+01
4.5,1.672e+01,2.748e+02,2.102e+01,3.126e+02
6.1,1.842e+01,1.064e+03,2.392e+01,1.107e+03
7.6,1.802e+01,1.760e+03,2.133e+01,1.799e+03
9.1,1.707e+01,2.482e+03,2.381e+01,2.523e+03
10.6,1.981e+01,3.291e+03,2.713e+01,3.338e+03
12.1,2.216e+01,4.235e+03,3.353e+01,4.290e+03
13.6,2.377e+01,5.626e+03,4.529e+01,5.695e+03
15.2,2.794e+01,7.468e+03,5.736e+01,7.553e+03
16.7,3.318e+01,8.951e+03,9.435e+01,9.078e+03
18.2,4.708e+01,1.121e+04,1.558e+02,1.141e+04
19.7,5.972e+01,1.432e+04,2.630e+02,1.464e+04
21.2,7.759e+01,1.660e+04,4.360e+02,1.711e+04
22.7,9.907e+01,1.970e+04,7.832e+02,2.058e+04
24.3,1.202e+02,2.158e+04,1.314e+03,2.302e+04
25.8,1.446e+02,2.038e+04,1.849e+03,2.237e+04
27.3,1.981e+02,1.870e+04,2.097e+03,2.100e+04
28.8,3.090e+02,1.681e+04,1.671e+03,1.879e+04
30.3,4.212e+02,1.827e+04,1.887e+03,2.058e+04
31.8,5.209e+02,2.187e+04,2.796e+03,2.519e+04
33.3,6.158e+02,2.412e+04,3.393e+03,2.813e+04
34.9,7.296e+02,2.757e+04,4.600e+03,3.290e+04
36.4,8.819e+02,3.713e+04,8.195e+03,4.621e+04
37.9,1.086e+03,5.303e+04,1.691e+04,7.102e+04
39.4,1.361e+03,7.571e+04,3.698e+04,1.141e+05
40.9,1.653e+03,9.513e+04,6.928e+04,1.661e+05
42.4,2.184e+03,1.183e+05,1.185e+05,2.391e+05
44.0,2.805e+03,1.651e+05,2.155e+05,3.834e+05
45.5,2.295e+03,2.076e+05,3.598e+05,5.698e+05
47.0,1.586e+03,2.219e+05,5.160e+05,7.395e+05
48.5,2.124e+03,2.125e+05,7.108e+05,9.255e+05
50.0,3.744e+03,1.413e+05,7.484e+05,8.935e+05
51.5,5.400e+03,6.826e+04,6.397e+05,7.134e+05
53.1,6.462e+03,2.966e+04,5.459e+05,5.820e+05
54.6,7.393e+03,1.878e+04,5.414e+05,5.676e+05
56.1,8.857e+03,3.062e+04,6.377e+05,6.772e+05
57.6,9.962e+03,6.252e+04,7.038e+05,7.763e+05
59.1,1.218e+04,9.113e+04,6.083e+05,7.116e+05
60.6,1.499e+04,9.217e+04,4.443e+05,5.515e+05
62.2,1.868e+04,7.797e+04,2.940e+05,3.907e+05
63.7,2.560e+04,6.858e+04,2.221e+05,3.163e+05
65.2,3.849e+04,6.966e+04,2.688e+05,3.769e+05
66.7,5.613e+04,7.958e+04,4.351e+05,5.708e+05
68.2,7.811e+04,1.033e+05,6.838e+05,8.652e+05
69.7,1.003e+05,1.343e+05,8.823e+05,1.117e+06
71.2,1.173e+05,1.594e+05,9.280e+05,1.205e+06
72.8,1.287e+05,1.727e+05,8.543e+05,1.156e+06
74.3,1.051e+05,1.484e+05,6.130e+05,8.665e+05
75.8,8.040e+04,1.285e+05,4.524e+05,6.612e+05
77.3,6.563e+04,1.204e+05,3.854e+05,5.714e+05
78.8,4.334e+04,1.088e+05,3.289e+05,4.811e+05
80.3,2.391e+04,9.916e+04,2.823e+05,4.054e+05
81.9,1.156e+04,9.031e+04,2.385e+05,3.404e+05
83.4,4.837e+03,8.120e+04,1.983e+05,2.844e+05
84.9,2.407e+03,7.704e+04,1.723e+05,2.518e+05
86.4,1.759e+03,7.606e+04,1.592e+05,2.370e+05
87.9,1.643e+03,7.403e+04,1.495e+05,2.252e+05
89.4,1.860e+03,7.000e+04,1.397e+05,2.116e+05
91.0,2.035e+03,6.685e+04,1.318e+05,2.007e+05
92.5,2.322e+03,6.357e+04,1.231e+05,1.890e+05
94.0,2.326e+03,5.942e+04,1.154e+05,1.771e+05
95.5,2.055e+03,5.749e+04,1.101e+05,1.697e+05
97.0,1.692e+03,5.557e+04,1.040e+05,1.613e+05
98.5,1.428e+03,5.294e+04,9.688e+04,1.512e+05
100.0,1.308e+03,4.867e+04,8.753e+04,1.375e+05
